X,Y,Z,Name,description,gx_media_links
-80.8626127,35.4555945,0,Caldwell Station Creek Greenway Access,Bailey Rd,
-80.8573186,35.4610953,0,Caldwell Station Creek Greenway Access,Oakhurst Blvd,
-80.856129,35.4655329,0,Caldwell Station Creek Greenway Access,Glenmeade Rd,
-80.8430409,35.4664425,0,Caldwell Station Creek Greenway Access,Bailey Road,
-80.8284331,35.4624518,0,Plum Creek Greenway Access,Quiet Brook Lane,
-80.825276,35.4679156,0,Plum Creek Greenway Access,Bailey Road,
-80.823664,35.473142,0,Plum Creek Greenway Access,Bartlette Creek Dr,
-80.8236046,35.4703699,0,Plum Creek Greenway Access,Avery Park Dr,
-80.7991441,35.4899743,0,West Branch Rocky River Greenway Access,Fisher Rd,
-80.807473,35.500076,0,West Branch Rocky River Greenway Access,Abersham Dr,
-80.7977465,35.5066913,0,West Branch Rocky River Greenway Access,Pleasant Garden Dr,
-80.8040014,35.5059358,0,West Branch Rocky River Greenway Access,Grey Rd,
-80.748662,35.28361,0,Toby Creek Greenway Access,Rockland Dr,
-80.74968,35.2803803,0,Toby Creek Greenway Access,Rockland Dr,
-80.747606,35.2880373,0,Toby Creek Greenway Access,Brooke Nicole Place,
-80.7445183,35.2893656,0,Toby Creek Greenway Access,W Knollwood Ct,
-80.743632,35.293532,0,Toby Creek Greenway Access,Chancellor Park Dr,
-80.7431421,35.2955452,0,Toby Creek Greenway Access,EWT Harris Blvd,
-80.7414415,35.2968631,0,Toby Creek Greenway Access,University City Blvd,
-80.9214084,35.3939209,0,McDowell Creek Dirtway Access,Carrington Pointe Dr,
-80.904536,35.404074,0,McDowell Creek Dirtway Access,Baylis Dr,
-80.8919498,35.4034242,0,Torrence Creek Greenway Access,Summerfield Lane,
-80.890744,35.403546,0,Torrence Creek Greenway Access,Tatebrook Lane,
-80.8888314,35.4031543,0,Torrence Creek Greenway Access,New Oak Lane,
-80.8890283,35.4061217,0,Torrence Creek Greenway Access,Gilead Road,
-80.8770478,35.3992608,0,Torrence Creek Greenway Access,Cliffcreek Dr,
-80.8762495,35.4048753,0,Torrence Creek Greenway Access,Hunters Pointe Dr,
-80.872395,35.40473,0,Torrence Creek Greenway Access,Binnaway Dr,
-80.8678363,35.4100459,0,Torrence Creek Greenway Access,Rosewood Meadow Lane,
-80.884768,35.420432,0,McDowell Creek Dirtway Access,Breton Brook St,
-80.8853851,35.4216111,0,McDowell Creek Dirtway Access,Berryfield St,
-80.886259,35.422137,0,McDowell Creek Dirtway Access,Oakham St,
-80.88704,35.423386,0,McDowell Creek Dirtway Access,Deerland Ct,
-80.887861,35.424161,0,McDowell Creek Dirtway Access,Lizzie Ln,
-80.887865,35.425082,0,McDowell Creek Dirtway Access,Prestwoods Lane,
-80.887238,35.42673,0,McDowell Creek Dirtway Access,Pristine Ct,
-80.8866671,35.4274958,0,McDowell Creek Dirtway Access,Glade Ct,
-80.851605,35.412617,0,Huntersville Urban Trail Access,Commerce Centre Dr,
-80.843092,35.411449,0,Huntersville Urban Trail Access,N Old Statesville Rd,
-80.883063,35.4035458,0,Torrence Creek Greenway Access,Bradford Hill Lane,
-80.7473405,35.316462,0,Barton Creek Greenway Access,Stanborough Ct,
-80.7475876,35.3178167,0,Barton Creek Greenway Access,Mountainwater Dr,
-80.7363399,35.3193819,0,Mallard Creek Greenway Access,N Tryon St,
-80.7359859,35.3192834,0,Mallard Creek Greenway Access,N Tryon St,
-80.736209,35.3102192,0,Toby Creek Greenway Access,Cameron Blvd,
-80.7366255,35.3079758,0,Toby Creek Greenway Access,Phillips Rd,
-80.7317445,35.320823,0,Mallard Creek Greenway Access,E Mallard Creek Church Rd,
-80.778519,35.337832,0,Clarks Creek Greenway Access,Colvard Park Way,
-80.7394117,35.1801215,0,Campbell Creek Greenway Access,City View Dr,
-80.8817804,35.0870545,0,Little Sugar Creek Greenway Access,Leitner Dr - Handicap Accessible,
-80.823911,35.229476,0,Little Sugar Creek Greenway Access,Belmont Ave,
-80.748565,35.313021,0,Barton Creek Greenway Access,JW Clay Boulevard,
-80.8657634,35.1178243,0,Little Sugar Creek Greenway Access,Sharon Rd W,
-80.857021,35.148247,0,Little Sugar Creek Greenway Access,Archdale Drive,
-80.857079,35.14806,0,Little Sugar Creek Greenway Access,Archdale Drive,
-80.8569205,35.1579572,0,Little Sugar Creek Greenway Access,Tyvola Road,
-80.84576,35.1774381,0,Little Sugar Creek Greenway Access,Tranquil Ave,
-80.8459853,35.1754299,0,Little Sugar Creek Greenway Access,Rocklyn Place,
-80.8459638,35.1745003,0,Little Sugar Creek Greenway Access,Fieldbrook Place,
-80.845423,35.178727,0,Little Sugar Creek Greenway Access,Hillside Ave,
-80.844751,35.181967,0,Little Sugar Creek Greenway Access,Westfield Road,
-80.844464,35.186501,0,Little Sugar Creek Greenway Access,Princeton Ave,
-80.8385206,35.1962675,0,Little Sugar Creek Greenway Access,East Blvd,
-80.836132,35.205251,0,Little Sugar Creek Greenway Access,S Kings Dr,
